player,cfg3_per_g,cfg3a_per_g,cfg3,cfg3a,cfg3_pct,cft,cfta,cft_pct,cts_pct,cefg_pct,cfg3a_per_fga_pct,cusg_pct,fg3,fg3a,fg3_pct
Bryce Dejean-Jones,1.0,3.1,120,357,.336,264,386,.684,.523,.487,.347,25.0,12,32,.375
Sam Dekker,1.3,3.6,142,408,.348,223,321,.695,.585,.563,.403,22.9,89,309,.288
Duje Dukan,0.5,1.4,44,134,,42,64,,.535,.516,.540,18.6,2,5,.400
Jarell Eddie,1.6,4.3,192,526,.365,224,276,.812,.525,.481,.529,21.7,19,65,.292
Jerian Grant,1.5,4.4,179,519,.345,448,567,.790,.563,.506,.407,23.1,174,539,.323
Montrezl Harrell,0.1,0.4,11,40,,217,407,.533,.586,.592,.044,21.0,5,50,.100
Aaron Harrison,1.5,4.6,121,361,.335,218,277,.787,.536,.487,.462,22.4,12,55,.218
Darrun Hilliard,1.6,4.3,209,569,.367,320,428,.748,.569,.529,.506,22.4,31,102,.304
Rondae Hollis-Jefferson,0.1,0.5,8,39,.205,248,356,.697,.560,.504,.075,20.2,44,207,.213
Richaun Holmes,0.3,0.9,30,85,.353,253,363,.697,.605,.574,.117,21.8,39,152,.257
Josh Huestis,0.5,1.5,66,207,.319,169,277,.610,.509,.489,.238,17.0,39,125,.312
R.J. Hunter,2.6,7.2,253,715,.354,448,525,.853,.579,.519,.541,27.5,26,88,.295
Stanley Johnson,1.1,3.1,43,116,.371,132,178,.742,.551,.501,.297,26.6,244,832,.293
Tyus Jones,1.2,3.2,47,124,.379,144,162,.889,.575,.489,.383,18.7,174,505,.345
Frank Kaminsky,0.7,1.9,103,279,.369,297,389,.763,.609,.573,.275,25.5,379,1093,.347
Sasha Kaun,0.0,0.0,0,0,,168,328,.512,.562,.568,.000,18.6,0,0,
Kevon Looney,0.6,1.5,22,53,.415,92,147,.626,.532,.505,.165,19.7,6,40,.150
Trey Lyles,0.1,0.8,4,29,.138,75,102,.735,.543,.496,.121,20.8,313,918,.341
Jarell Martin,0.6,2.0,41,133,.308,202,293,.689,.560,.525,.203,22.8,63,182,.346
T.J. McConnell,1.0,2.6,138,363,.380,176,235,.749,.573,.551,.323,17.4,88,265,.332
Chris McCullough,0.1,0.1,1,1,1.000,40,71,.563,.508,.482,.009,20.7,15,49,.306
Jordan McRae,1.6,4.6,179,522,.343,350,455,.769,.541,.492,.439,27.8,83,234,.355
Jordan Mickey,0.0,0.2,1,14,.071,186,278,.669,.548,.519,.020,22.4,2,17,.118
Xavier Munford,2.1,6.4,130,388,.335,211,297,.710,.510,.472,.439,29.0,9,25,.360
Larry Nance,0.3,1.0,36,117,.308,330,428,.771,.587,.540,.120,22.8,102,315,.324
Jahlil Okafor,0.0,0.0,0,0,,99,194,.510,.641,.664,.000,27.6,4,18,.222
Kelly Oubre,0.9,2.6,34,95,.358,79,110,.718,.555,.512,.383,23.1,421,1281,.329
Lamar Patterson,1.1,3.1,171,463,.369,285,394,.723,.549,.513,.422,22.5,13,55,.236
Cameron Payne,2.3,6.3,156,434,.359,253,324,.781,.551,.509,.431,30.5,138,401,.344
Bobby Portis,0.3,0.9,23,63,.365,202,274,.737,.574,.540,.081,24.2,270,749,.360
Norman Powell,0.8,2.5,111,354,.314,259,347,.746,.548,.512,.325,20.3,322,891,.361
Willie Reed,0.0,0.0,0,0,,136,272,.500,.563,.574,.000,25.4,2,6,.333
Josh Richardson,0.7,2.3,98,308,.318,238,314,.758,.542,.504,.306,19.0,504,1387,.363
Terry Rozier,1.2,3.5,84,254,.331,176,228,.772,.507,.463,.337,24.7,507,1368,.371
D'Angelo Russell,2.7,6.6,95,231,.411,118,156,.756,.573,.541,.449,30.2,747,2098,.356
Jonathon Simmons,1.1,2.8,32,83,.386,101,141,.716,.599,.565,.276,26.1,145,457,.317
Alex Stepheson,0.0,0.0,0,0,,142,286,.497,.521,.520,.000,18.1,0,0,
Karl-Anthony Towns,0.1,0.2,2,8,.250,109,134,.813,.627,.570,.031,23.7,507,1280,.396
Myles Turner,0.5,1.8,17,62,.274,94,112,.839,.556,.488,.241,25.1,261,732,.357
Rashad Vaughn,2.3,6.1,54,141,.383,68,98,.694,.547,.521,.430,30.8,83,265,.313
Briante Weber,0.3,1.1,40,146,.274,230,299,.769,.515,.455,.210,17.0,5,26,.192
Alan Williams,0.0,0.0,0,3,,458,649,.706,.540,.492,.002,32.0,0,2,.000
Justise Winslow,1.2,2.8,46,110,.418,100,156,.641,.572,.551,.309,22.9,190,563,.337
Christian Wood,0.6,2.2,36,138,.261,148,198,.747,.557,.513,.280,24.7,67,182,.368
Delon Wright,0.6,1.9,38,127,.299,306,376,.814,.629,.565,.200,22.1,168,491,.342
Joe Young,2.2,5.6,288,739,.390,460,519,.886,.586,.537,.430,25.3,40,135,.296
Ron Baker,2.0,5.3,242,655,.369,350,437,.801,.579,.534,.544,22.1,35,132,.265
Wade Baldwin,1.2,2.9,84,199,.422,240,300,.800,.578,.508,.366,22.0,9,36,.250
Malik Beasley,1.6,4.2,55,142,.387,104,128,.813,.583,.541,.361,24.3,307,791,.388
DeAndre' Bembry,1.2,3.8,120,385,.312,310,494,.628,.528,.504,.303,24.9,77,286,.269
Ben Bentil,0.9,2.7,61,188,.324,251,330,.761,.554,.499,.267,25.1,0,1,.000
Joel Bolomboy,0.3,0.7,36,97,,464,651,.713,.598,.548,.104,21.4,1,5,.200
Malcolm Brogdon,1.4,3.7,185,507,.365,422,482,.876,.556,.496,.362,25.3,319,828,.385
Jaylen Brown,0.9,3.0,30,102,.294,142,217,.654,.518,.471,.270,31.4,391,1055,.371
Marquese Chriss,0.6,1.8,21,60,.350,88,129,.682,.585,.561,.178,24.1,152,525,.290
Semaj Christon,0.4,1.2,26,77,.338,282,421,.670,.525,.479,.098,28.2,12,63,.190
Quinn Cook,1.7,4.4,236,629,.375,267,313,.853,.568,.528,.509,20.2,169,415,.407
Deyonta Davis,0.0,0.0,0,0,,23,38,.605,.601,.598,.000,19.2,0,1,.000
Malcolm Delaney,1.9,5.3,264,727,.363,721,853,.845,.567,.484,.459,25.4,72,234,.308
Cheick Diallo,0.0,0.0,0,0,,15,27,.556,.572,.569,.000,21.7,2,7,.286
Kris Dunn,0.8,2.2,73,206,.354,293,423,.693,.531,.488,.218,24.6,127,415,.306
Henry Ellenson,0.9,3.2,30,104,.288,143,191,.749,.534,.480,.239,26.7,47,137,.343
Joel Embiid,0.0,0.2,1,5,.200,98,143,.685,.655,.629,.029,23.4,238,747,.319
Kay Felder,1.4,4.1,143,415,.345,514,625,.822,.553,.481,.319,26.5,11,41,.268
Yogi Ferrell,2.0,5.0,272,681,.399,440,530,.830,.575,.524,.462,22.7,280,763,.367
Dorian Finney-Smith,1.4,3.8,185,511,.362,284,432,.657,.520,.490,.438,21.9,269,815,.330
Bryn Forbes,2.3,5.4,324,745,.435,288,351,.821,.611,.578,.592,20.8,430,1075,.400
Patricio Garino,0.8,2.2,102,280,.364,314,468,.671,.579,.554,.251,21.3,0,5,.000
Michael Gbinije,1.3,3.4,159,411,.387,200,313,.639,.561,.543,.457,21.1,0,4,.000
Marcus Georges-Hunt,0.9,2.9,122,371,.329,468,625,.749,.536,.479,.282,23.3,5,17,.294
Jonathan Gibson,2.0,5.0,259,650,.398,222,293,.758,.569,.543,.535,22.9,21,57,.368
Treveon Graham,1.4,4.0,200,565,.354,446,645,.691,.542,.502,.395,26.8,120,360,.333
A.J. Hammons,0.0,0.2,6,23,,361,523,.690,.574,.541,.020,26.2,5,10,.500
Andrew Harrison,0.9,2.4,69,188,.367,285,367,.777,.517,.430,.315,21.3,95,323,.294
Buddy Hield,2.6,6.8,349,894,.390,376,450,.836,.584,.548,.511,26.6,873,2126,.411
Danuel House,1.7,5.0,202,598,.338,387,554,.699,.533,.493,.455,25.3,218,591,.369
Brandon Ingram,2.2,5.4,80,195,.410,116,170,.682,.552,.525,.403,25.6,277,770,.360
Demetrius Jackson,1.3,3.4,133,349,.381,241,308,.782,.582,.542,.393,20.1,4,14,.286
Pierre Jackson,2.1,5.6,157,414,.379,298,369,.808,.583,.530,.468,27.1,3,11,.273
